,wine_type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,free_SO2_ratio,alcohol_surgar_ratio,sugar_acidity_ratio,fixed_acidity_ratio
702,red,10.8,0.45,0.33,2.5,0.099,20.0,38.0,0.99818,3.24,0.71,10.8,5,52.63157894736842,432.0,22.22222222222222,96.0
703,red,6.9,0.39,0.24,2.1,0.102,4.0,7.0,0.99462,3.44,0.58,11.4,4,57.142857142857146,542.8571428571429,28.80658436213992,94.65020576131687
705,red,9.8,0.51,0.19,3.2,0.081,8.0,30.0,0.9984,3.23,0.58,10.5,6,26.666666666666668,328.125,31.03782735208535,95.0533462657614
707,red,7.1,0.715,0.0,2.35,0.071,21.0,47.0,0.99632,3.29,0.45,9.4,5,44.680851063829785,400.0,30.070377479206655,90.850927703135
708,red,9.1,0.66,0.15,3.2,0.097,9.0,59.0,0.99976,3.28,0.54,9.6,5,15.254237288135592,300.0,32.78688524590164,93.23770491803279
709,red,7.0,0.685,0.0,1.9,0.099,9.0,22.0,0.99606,3.34,0.6,9.7,5,40.90909090909091,510.52631578947364,24.7234873129473,91.0865322055953
711,red,6.7,0.54,0.13,2.0,0.076,15.0,36.0,0.9973,3.61,0.64,9.8,5,41.66666666666666,490.00000000000006,27.624309392265193,92.54143646408839
712,red,7.1,0.48,0.28,2.8,0.068,6.0,16.0,0.99682,3.24,0.53,10.3,5,37.5,367.8571428571429,36.93931398416886,93.66754617414247
713,red,7.1,0.46,0.14,2.8,0.076,15.0,37.0,0.99624,3.36,0.49,10.7,5,40.54054054054054,382.14285714285717,37.03703703703704,93.91534391534393
714,red,7.5,0.27,0.34,2.3,0.05,4.0,8.0,0.9951,3.4,0.64,11.0,7,50.0,478.26086956521743,29.601029601029598,96.52509652509653
717,red,7.5,0.685,0.07,2.5,0.058,5.0,9.0,0.99632,3.38,0.55,10.9,4,55.55555555555556,436.0,30.543677458766034,91.6310323762981
721,red,7.6,0.665,0.1,1.5,0.066,27.0,55.0,0.99655,3.39,0.51,9.3,5,49.09090909090909,620.0000000000001,18.148820326678763,91.95402298850574
722,red,6.7,0.28,0.28,2.4,0.012,36.0,100.0,0.99064,3.26,0.39,11.7,7,36.0,487.5,34.38395415472779,95.98853868194841
723,red,10.1,0.31,0.35,1.6,0.075,9.0,28.0,0.99672,3.24,0.83,11.2,7,32.142857142857146,700.0,15.36983669548511,97.02209414024976
724,red,6.0,0.5,0.04,2.2,0.092,13.0,26.0,0.99647,3.46,0.47,10.0,5,50.0,454.5454545454545,33.846153846153854,92.3076923076923
725,red,11.1,0.42,0.47,2.65,0.085,9.0,34.0,0.99736,3.24,0.77,12.1,7,26.47058823529412,456.6037735849057,23.00347222222222,96.35416666666667
727,red,10.6,0.5,0.45,2.6,0.119,34.0,68.0,0.99708,3.23,0.72,10.9,6,50.0,419.2307692307692,23.423423423423426,95.4954954954955
728,red,7.1,0.685,0.35,2.0,0.088,9.0,92.0,0.9963,3.28,0.62,9.4,5,9.782608695652174,470.0,25.690430314707772,91.20102761721259
729,red,9.9,0.25,0.46,1.7,0.062,26.0,42.0,0.9959,3.18,0.83,10.6,6,61.90476190476191,623.5294117647059,16.748768472906402,97.53694581280787
730,red,6.4,0.64,0.21,1.8,0.081,14.0,31.0,0.99689,3.59,0.66,9.8,5,45.16129032258065,544.4444444444445,25.568181818181817,90.9090909090909
731,red,7.4,0.68,0.16,1.8,0.078,12.0,39.0,0.9977,3.5,0.7,9.9,6,30.76923076923077,550.0,22.277227722772277,91.58415841584159
732,red,6.4,0.63,0.21,1.6,0.08,12.0,32.0,0.99689,3.58,0.66,9.8,5,37.5,612.5,22.759601706970127,91.03840682788051
733,red,9.3,0.43,0.44,1.9,0.085,9.0,22.0,0.99708,3.28,0.55,9.5,5,40.90909090909091,500.0,19.527235354573484,95.58067831449127
737,red,8.2,0.26,0.34,2.5,0.073,16.0,47.0,0.99594,3.4,0.78,11.3,7,34.04255319148936,452.0,29.550827423167853,96.92671394799054
739,red,6.8,0.56,0.22,1.8,0.074,15.0,24.0,0.99438,3.4,0.82,11.2,6,62.5,622.2222222222222,24.456521739130437,92.3913043478261
740,red,7.2,0.62,0.06,2.7,0.077,15.0,85.0,0.99746,3.51,0.54,9.5,5,17.647058823529413,351.85185185185185,34.526854219948845,92.07161125319693
742,red,7.5,0.42,0.32,2.7,0.067,7.0,25.0,0.99628,3.24,0.44,10.4,5,28.0,385.18518518518516,34.09090909090909,94.6969696969697
743,red,7.2,0.62,0.06,2.5,0.078,17.0,84.0,0.99746,3.51,0.53,9.7,5,20.23809523809524,387.99999999999994,31.9693094629156,92.07161125319693
744,red,7.2,0.635,0.07,2.6,0.077,16.0,86.0,0.99748,3.51,0.54,9.7,5,18.6046511627907,373.07692307692304,33.184428844926614,91.89534141671984
745,red,6.8,0.49,0.22,2.3,0.071,13.0,24.0,0.99438,3.41,0.83,11.3,6,54.16666666666666,491.304347826087,31.55006858710562,93.27846364883402
746,red,6.9,0.51,0.23,2.0,0.072,13.0,22.0,0.99438,3.4,0.84,11.2,6,59.09090909090909,560.0,26.99055330634278,93.11740890688259
747,red,7.6,0.63,0.03,2.0,0.08,27.0,43.0,0.99578,3.44,0.64,10.9,6,62.7906976744186,545.0,24.30133657351154,92.34507897934385
750,red,7.3,0.35,0.24,2.0,0.067,28.0,48.0,0.99576,3.43,0.54,10.0,4,58.333333333333336,500.0,26.143790849673206,95.42483660130719
751,red,9.1,0.21,0.37,1.6,0.067,6.0,10.0,0.99552,3.23,0.58,11.1,7,60.0,693.75,17.185821697099893,97.74436090225564
752,red,10.4,0.38,0.46,2.1,0.104,6.0,10.0,0.99664,3.12,0.65,11.8,7,60.0,561.9047619047619,19.48051948051948,96.47495361781075
753,red,8.8,0.31,0.4,2.8,0.109,7.0,16.0,0.99614,3.31,0.79,11.8,7,43.75,421.42857142857144,30.735455543358942,96.59714599341383
754,red,7.1,0.47,0.0,2.2,0.067,7.0,14.0,0.99517,3.4,0.58,10.9,4,50.0,495.45454545454544,29.062087186261564,93.79128137384413
755,red,8.8,0.61,0.19,4.0,0.094,30.0,69.0,0.99787,3.22,0.5,10.0,6,43.47826086956522,250.0,42.507970244420825,93.51753453772584
756,red,7.2,0.6,0.04,2.5,0.076,18.0,88.0,0.99745,3.53,0.55,9.5,5,20.454545454545453,380.0,32.05128205128205,92.3076923076923
757,red,9.2,0.56,0.18,1.6,0.078,10.0,21.0,0.99576,3.15,0.49,9.9,5,47.61904761904762,618.75,16.39344262295082,94.26229508196721
760,red,8.9,0.75,0.14,2.5,0.086,9.0,30.0,0.99824,3.34,0.64,10.5,5,30.0,420.0,25.906735751295336,92.2279792746114
761,red,9.0,0.8,0.12,2.4,0.083,8.0,28.0,0.99836,3.33,0.65,10.4,6,28.571428571428573,433.33333333333337,24.489795918367346,91.83673469387755
762,red,10.7,0.52,0.38,2.6,0.066,29.0,56.0,0.99577,3.15,0.79,12.1,7,51.785714285714285,465.38461538461536,23.172905525846705,95.36541889483067
763,red,6.8,0.57,0.0,2.5,0.072,32.0,64.0,0.99491,3.43,0.56,11.2,6,50.0,448.0,33.921302578018995,92.26594301221166
765,red,7.2,0.34,0.24,2.0,0.071,30.0,52.0,0.99576,3.44,0.58,10.1,5,57.69230769230769,505.0,26.52519893899204,95.49071618037135
766,red,7.2,0.66,0.03,2.3,0.078,16.0,86.0,0.99743,3.53,0.57,9.7,5,18.6046511627907,421.73913043478257,29.262086513994905,91.6030534351145
767,red,10.1,0.45,0.23,1.9,0.082,10.0,18.0,0.99774,3.22,0.65,9.3,6,55.55555555555556,489.4736842105264,18.009478672985782,95.73459715639811
768,red,7.2,0.63,0.03,2.2,0.08,17.0,88.0,0.99745,3.53,0.58,9.8,6,19.318181818181817,445.4545454545455,28.097062579821205,91.95402298850574
769,red,7.1,0.59,0.01,2.3,0.08,27.0,43.0,0.9955,3.42,0.58,10.7,6,62.7906976744186,465.21739130434787,29.90897269180754,92.32769830949286
770,red,8.3,0.31,0.39,2.4,0.078,17.0,43.0,0.99444,3.31,0.77,12.5,7,39.53488372093023,520.8333333333334,27.87456445993031,96.39953542392567
772,red,8.9,0.31,0.36,2.6,0.056,10.0,39.0,0.99562,3.4,0.69,11.8,5,25.64102564102564,453.8461538461538,28.23018458197611,96.63409337676438
773,red,7.4,0.635,0.1,2.4,0.08,16.0,33.0,0.99736,3.58,0.69,10.8,7,48.48484848484848,450.0,29.869321717486,92.09707529558183
774,red,6.8,0.59,0.06,6.0,0.06,11.0,18.0,0.9962,3.41,0.59,10.8,7,61.11111111111112,180.0,81.19079837618403,92.01623815967524
775,red,9.2,0.58,0.2,3.0,0.081,15.0,115.0,0.998,3.23,0.59,9.5,5,13.043478260869565,316.6666666666667,30.67484662576687,94.06952965235173
776,red,7.2,0.54,0.27,2.6,0.084,12.0,78.0,0.9964,3.39,0.71,11.0,5,15.384615384615383,423.07692307692304,33.59173126614987,93.02325581395348
778,red,7.4,0.52,0.13,2.4,0.078,34.0,61.0,0.99528,3.43,0.59,10.8,6,55.73770491803279,450.0,30.303030303030305,93.43434343434343
779,red,7.3,0.305,0.39,1.2,0.059,7.0,11.0,0.99331,3.29,0.52,11.5,6,63.63636363636363,958.3333333333334,15.779092702169626,95.98948060486522
780,red,9.3,0.38,0.48,3.8,0.132,3.0,11.0,0.99577,3.23,0.57,13.2,6,27.272727272727277,347.3684210526316,39.25619834710743,96.07438016528926
781,red,9.1,0.28,0.46,9.0,0.114,3.0,9.0,0.99901,3.18,0.6,10.9,6,33.333333333333336,121.11111111111111,95.94882729211088,97.01492537313433
782,red,10.0,0.46,0.44,2.9,0.065,4.0,8.0,0.99674,3.33,0.62,12.2,6,50.0,420.6896551724138,27.724665391969406,95.60229445506691
783,red,9.4,0.395,0.46,4.6,0.094,3.0,10.0,0.99639,3.27,0.64,12.2,7,30.0,265.21739130434787,46.96273608984175,95.9673302705462
784,red,8.6,0.315,0.4,2.2,0.079,3.0,6.0,0.99512,3.27,0.67,11.9,6,50.0,540.9090909090909,24.677509814918682,96.46662927650029
786,red,6.8,0.41,0.31,8.8,0.084,26.0,45.0,0.99824,3.38,0.64,10.1,6,57.77777777777778,114.77272727272727,122.05270457697644,94.31345353675451
787,red,8.4,0.36,0.32,2.2,0.081,32.0,79.0,0.9964,3.3,0.72,11.0,6,40.50632911392405,499.99999999999994,25.114155251141558,95.89041095890411
789,red,9.6,0.41,0.37,2.3,0.091,10.0,23.0,0.99786,3.24,0.56,10.5,5,43.47826086956522,456.5217391304348,22.977022977022976,95.90409590409591
790,red,8.6,0.47,0.27,2.3,0.055,14.0,28.0,0.99516,3.18,0.8,11.2,5,50.0,486.9565217391305,25.358324145534727,94.81808158765159
793,red,8.4,0.67,0.19,2.2,0.093,11.0,75.0,0.99736,3.2,0.59,9.2,4,14.666666666666666,418.1818181818181,24.255788313120178,92.61300992282249
794,red,8.7,0.33,0.38,3.3,0.063,10.0,19.0,0.99468,3.3,0.73,12.0,7,52.63157894736842,363.6363636363637,36.544850498338874,96.3455149501661
795,red,6.6,0.61,0.01,1.9,0.08,8.0,25.0,0.99746,3.69,0.73,10.5,5,32.0,552.6315789473684,26.352288488210817,91.53952843273231
796,red,7.4,0.61,0.01,2.0,0.074,13.0,38.0,0.99748,3.48,0.65,9.8,5,34.21052631578947,490.00000000000006,24.968789013732835,92.38451935081149
797,red,7.6,0.4,0.29,1.9,0.078,29.0,66.0,0.9971,3.45,0.59,9.5,6,43.93939393939394,500.0,23.75,95.0
798,red,8.8,0.3,0.38,2.3,0.06,19.0,72.0,0.99543,3.39,0.72,11.8,6,26.38888888888889,513.0434782608696,25.274725274725267,96.7032967032967
800,red,7.2,0.38,0.38,2.8,0.068,23.0,42.0,0.99356,3.34,0.72,12.9,7,54.76190476190476,460.7142857142857,36.93931398416886,94.9868073878628
801,red,6.2,0.46,0.17,1.6,0.073,7.0,11.0,0.99425,3.61,0.54,11.4,5,63.63636363636363,712.5,24.024024024024023,93.09309309309309
802,red,9.6,0.33,0.52,2.2,0.074,13.0,25.0,0.99509,3.36,0.76,12.4,7,52.0,563.6363636363636,22.155085599194365,96.67673716012085
803,red,9.9,0.27,0.49,5.0,0.082,9.0,17.0,0.99484,3.19,0.52,12.5,7,52.94117647058823,250.0,49.164208456243855,97.34513274336284
804,red,10.1,0.43,0.4,2.6,0.092,13.0,52.0,0.99834,3.22,0.64,10.0,7,25.0,384.6153846153846,24.69135802469136,95.91642924976259
805,red,9.8,0.5,0.34,2.3,0.094,10.0,45.0,0.99864,3.24,0.6,9.7,7,22.22222222222222,421.73913043478257,22.330097087378636,95.14563106796118
806,red,8.3,0.3,0.49,3.8,0.09,11.0,24.0,0.99498,3.27,0.64,12.1,7,45.833333333333336,318.42105263157896,44.1860465116279,96.51162790697674
807,red,10.2,0.44,0.42,2.0,0.071,7.0,20.0,0.99566,3.14,0.79,11.1,7,35.0,555.0,18.79699248120301,95.86466165413533
809,red,8.3,0.28,0.48,2.1,0.093,6.0,12.0,0.99408,3.26,0.62,12.4,7,50.0,590.4761904761905,24.475524475524477,96.73659673659675
810,red,8.9,0.12,0.45,1.8,0.075,10.0,21.0,0.99552,3.41,0.76,11.9,7,47.61904761904762,661.1111111111111,19.955654101995567,98.66962305986696
811,red,8.2,0.31,0.4,2.2,0.058,6.0,10.0,0.99536,3.31,0.68,11.2,7,60.0,509.09090909090907,25.85193889541716,96.35722679200939
812,red,10.2,0.34,0.48,2.1,0.052,5.0,9.0,0.99458,3.2,0.69,12.1,7,55.55555555555556,576.1904761904761,19.924098671726757,96.77419354838709
813,red,7.6,0.43,0.4,2.7,0.082,6.0,11.0,0.99538,3.44,0.54,12.2,6,54.54545454545455,451.85185185185185,33.623910336239106,94.64508094645082
814,red,8.5,0.21,0.52,1.9,0.09,9.0,23.0,0.99648,3.36,0.67,10.4,5,39.130434782608695,547.3684210526316,21.814006888633752,97.5889781859931
815,red,9.0,0.36,0.52,2.1,0.111,5.0,10.0,0.99568,3.31,0.62,11.3,6,50.0,538.0952380952381,22.435897435897438,96.15384615384616
816,red,9.5,0.37,0.52,2.0,0.088,12.0,51.0,0.99613,3.29,0.58,11.1,6,23.529411764705884,555.0,20.26342451874367,96.25126646403243
818,red,8.0,0.59,0.05,2.0,0.089,12.0,32.0,0.99735,3.36,0.61,10.0,5,37.5,500.0,23.28288707799767,93.13154831199068
819,red,8.5,0.47,0.27,1.9,0.058,18.0,38.0,0.99518,3.16,0.85,11.1,6,47.36842105263158,584.2105263157895,21.181716833890746,94.76031215161649
820,red,7.1,0.56,0.14,1.6,0.078,7.0,18.0,0.99592,3.27,0.62,9.3,5,38.888888888888886,581.25,20.887728459530027,92.68929503916449
821,red,6.6,0.57,0.02,2.1,0.115,6.0,16.0,0.99654,3.38,0.69,9.5,5,37.5,452.38095238095235,29.288702928870293,92.05020920502092
823,red,8.3,0.34,0.4,2.4,0.065,24.0,48.0,0.99554,3.34,0.86,11.0,6,50.0,458.33333333333337,27.777777777777775,96.06481481481482
824,red,9.0,0.38,0.41,2.4,0.103,6.0,10.0,0.99604,3.13,0.58,11.9,7,60.0,495.83333333333337,25.586353944562898,95.94882729211086
825,red,8.5,0.66,0.2,2.1,0.097,23.0,113.0,0.99733,3.13,0.48,9.2,5,20.353982300884955,438.095238095238,22.925764192139738,92.7947598253275
826,red,9.0,0.4,0.43,2.4,0.068,29.0,46.0,0.9943,3.2,0.6,12.2,6,63.04347826086956,508.33333333333337,25.53191489361702,95.74468085106382
827,red,6.7,0.56,0.09,2.9,0.079,7.0,22.0,0.99669,3.46,0.61,10.2,5,31.818181818181817,351.7241379310345,39.94490358126722,92.28650137741047
828,red,10.4,0.26,0.48,1.9,0.066,6.0,10.0,0.99724,3.33,0.87,10.9,6,60.0,573.6842105263158,17.823639774859288,97.5609756097561
829,red,10.1,0.38,0.5,2.4,0.104,6.0,13.0,0.99643,3.22,0.65,11.6,7,46.15384615384615,483.33333333333337,22.900763358778626,96.37404580152672
830,red,8.5,0.34,0.44,1.7,0.079,6.0,12.0,0.99605,3.52,0.63,10.7,5,50.0,629.4117647058823,19.23076923076923,96.15384615384616
831,red,8.8,0.33,0.41,5.9,0.073,7.0,13.0,0.99658,3.3,0.62,12.1,7,53.84615384615385,205.08474576271186,64.62212486308871,96.3855421686747
832,red,7.2,0.41,0.3,2.1,0.083,35.0,72.0,0.997,3.44,0.52,9.4,5,48.61111111111112,447.6190476190476,27.59526938239159,94.61235216819973
833,red,8.4,0.59,0.29,2.6,0.109,31.0,119.0,0.99801,3.15,0.5,9.1,5,26.050420168067227,350.0,28.921023359288096,93.43715239154616
834,red,7.0,0.4,0.32,3.6,0.061,9.0,29.0,0.99416,3.28,0.49,11.3,7,31.03448275862069,313.88888888888886,48.648648648648646,94.5945945945946
836,red,9.1,0.5,0.3,1.9,0.065,8.0,17.0,0.99774,3.32,0.71,10.5,6,47.05882352941177,552.6315789473684,19.791666666666668,94.79166666666667
839,red,7.4,0.58,0.0,2.0,0.064,7.0,11.0,0.99562,3.45,0.58,11.3,6,63.63636363636363,565.0,25.062656641604008,92.73182957393483
840,red,9.8,0.34,0.39,1.4,0.066,3.0,7.0,0.9947,3.19,0.55,11.4,7,42.85714285714285,814.2857142857143,13.806706114398422,96.64694280078896
841,red,7.1,0.36,0.3,1.6,0.08,35.0,70.0,0.99693,3.44,0.5,9.4,5,50.0,587.5,21.447721179624665,95.17426273458445
844,red,7.1,0.34,0.28,2.0,0.082,31.0,68.0,0.99694,3.45,0.48,9.4,5,45.588235294117645,470.0,26.881720430107528,95.43010752688173
845,red,6.5,0.4,0.1,2.0,0.076,30.0,47.0,0.99554,3.36,0.48,9.4,6,63.82978723404256,470.0,28.98550724637681,94.20289855072463
846,red,10.0,0.35,0.45,2.5,0.092,20.0,88.0,0.99918,3.15,0.43,9.4,5,22.727272727272727,376.0,24.154589371980677,96.61835748792271
847,red,7.7,0.6,0.06,2.0,0.079,19.0,41.0,0.99697,3.39,0.62,10.1,6,46.34146341463415,505.0,24.096385542168672,92.7710843373494
849,red,8.9,0.84,0.34,1.4,0.05,4.0,10.0,0.99554,3.12,0.48,9.1,6,40.0,650.0,14.373716632443532,91.37577002053388
850,red,6.4,0.69,0.0,1.65,0.055,7.0,12.0,0.99162,3.47,0.53,12.9,6,58.333333333333336,781.8181818181819,23.272214386459805,90.26798307475318
851,red,7.5,0.43,0.3,2.2,0.062,6.0,12.0,0.99495,3.44,0.72,11.5,7,50.0,522.7272727272726,27.74274905422447,94.57755359394704
853,red,9.1,0.29,0.33,2.05,0.063,13.0,27.0,0.99516,3.26,0.84,11.7,7,48.14814814814815,570.7317073170732,21.831735889243877,96.91160809371674
854,red,6.8,0.36,0.32,1.8,0.067,4.0,8.0,0.9928,3.36,0.55,12.8,7,50.0,711.1111111111111,25.139664804469273,94.97206703910615
855,red,8.2,0.43,0.29,1.6,0.081,27.0,45.0,0.99603,3.25,0.54,10.3,5,60.0,643.75,18.539976825028972,95.01738122827346
856,red,9.1,0.3,0.34,2.0,0.064,12.0,25.0,0.99516,3.26,0.84,11.7,7,48.0,585.0,21.27659574468085,96.80851063829788
857,red,8.9,0.35,0.4,3.6,0.11,12.0,24.0,0.99549,3.23,0.7,12.0,7,50.0,333.3333333333333,38.91891891891892,96.21621621621621
858,red,9.6,0.5,0.36,2.8,0.116,26.0,55.0,0.99722,3.18,0.68,10.9,5,47.27272727272727,389.28571428571433,27.722772277227723,95.04950495049505
859,red,8.9,0.28,0.45,1.7,0.067,7.0,12.0,0.99354,3.25,0.55,12.3,7,58.333333333333336,723.5294117647059,18.51851851851852,96.94989106753813
860,red,8.9,0.32,0.31,2.0,0.088,12.0,19.0,0.9957,3.17,0.55,10.4,6,63.1578947368421,520.0,21.691973969631235,96.52928416485899
863,red,8.0,0.58,0.16,2.0,0.12,3.0,7.0,0.99454,3.22,0.58,11.2,6,42.85714285714285,560.0,23.31002331002331,93.24009324009324
864,red,10.5,0.39,0.46,2.2,0.075,14.0,27.0,0.99598,3.06,0.84,11.4,6,51.851851851851855,518.1818181818181,20.202020202020204,96.41873278236915
865,red,8.9,0.38,0.4,2.2,0.068,12.0,28.0,0.99486,3.27,0.75,12.6,7,42.85714285714285,572.7272727272726,23.70689655172414,95.9051724137931
866,red,8.0,0.18,0.37,0.9,0.049,36.0,109.0,0.99007,2.89,0.44,12.7,6,33.027522935779814,1411.111111111111,11.002444987775062,97.79951100244499
867,red,7.0,0.5,0.14,1.8,0.078,10.0,23.0,0.99636,3.53,0.61,10.4,5,43.47826086956522,577.7777777777777,24.0,93.33333333333333
869,red,7.0,0.51,0.09,2.1,0.062,4.0,9.0,0.99584,3.35,0.54,10.5,5,44.44444444444444,500.0,27.96271637816245,93.20905459387484
870,red,8.2,0.32,0.42,2.3,0.098,3.0,9.0,0.99506,3.27,0.55,12.3,6,33.333333333333336,534.7826086956522,26.995305164319248,96.24413145539906
872,red,8.6,0.83,0.0,2.8,0.095,17.0,43.0,0.99822,3.33,0.6,10.4,6,39.53488372093023,371.42857142857144,29.692470837751856,91.1983032873807
873,red,7.9,0.31,0.32,1.9,0.066,14.0,36.0,0.99364,3.41,0.56,12.6,6,38.888888888888886,663.1578947368421,23.14250913520097,96.22411693057246
874,red,6.4,0.795,0.0,2.2,0.065,28.0,52.0,0.99378,3.49,0.52,11.6,5,53.84615384615385,527.2727272727273,30.576789437109106,88.95066018068103
875,red,7.2,0.34,0.21,2.5,0.075,41.0,68.0,0.99586,3.37,0.54,10.1,6,60.294117647058826,404.0,33.15649867374005,95.49071618037135
876,red,7.1,0.59,0.0,2.1,0.091,9.0,14.0,0.99488,3.42,0.55,11.5,7,64.28571428571429,547.6190476190476,27.308192457737324,92.32769830949286
877,red,7.3,0.55,0.01,1.8,0.093,9.0,15.0,0.99514,3.35,0.58,11.0,7,60.0,611.1111111111111,22.929936305732486,92.99363057324841
878,red,8.1,0.82,0.0,4.1,0.095,5.0,14.0,0.99854,3.36,0.53,9.6,5,35.714285714285715,234.14634146341464,45.96412556053811,90.80717488789237
879,red,7.5,0.57,0.08,2.6,0.089,14.0,27.0,0.99592,3.3,0.59,10.4,6,51.851851851851855,400.0,32.2180916976456,92.93680297397769
880,red,8.9,0.745,0.18,2.5,0.077,15.0,48.0,0.99739,3.2,0.47,9.7,6,31.25,387.99999999999994,25.920165889061693,92.27579056505962
881,red,10.1,0.37,0.34,2.4,0.085,5.0,17.0,0.99683,3.17,0.65,10.6,7,29.41176470588235,441.6666666666667,22.922636103151866,96.4660936007641
884,red,8.7,0.41,0.41,6.2,0.078,25.0,42.0,0.9953,3.24,0.77,12.6,7,59.523809523809526,203.2258064516129,68.05708013172338,95.49945115257958
885,red,8.9,0.5,0.21,2.2,0.088,21.0,39.0,0.99692,3.33,0.83,11.1,6,53.84615384615385,504.5454545454545,23.404255319148938,94.68085106382978
887,red,6.9,0.49,0.19,1.7,0.079,13.0,26.0,0.99547,3.38,0.64,9.8,6,50.0,576.4705882352941,23.004059539918806,93.36941813261163
888,red,9.5,0.39,0.41,8.9,0.069,18.0,39.0,0.99859,3.29,0.81,10.9,7,46.15384615384615,122.47191011235955,89.98988877654196,96.056622851365
889,red,6.4,0.39,0.33,3.3,0.046,12.0,53.0,0.99294,3.36,0.62,12.2,6,22.641509433962263,369.69696969696975,48.60088365243004,94.25625920471282
892,red,7.1,0.43,0.17,1.8,0.082,27.0,51.0,0.99634,3.49,0.64,10.4,5,52.94117647058823,577.7777777777777,23.904382470119526,94.28950863213812
893,red,9.3,0.49,0.36,1.7,0.081,3.0,14.0,0.99702,3.27,0.78,10.9,6,21.428571428571427,641.1764705882354,17.364657814096013,94.99489274770174
894,red,9.3,0.5,0.36,1.8,0.084,6.0,17.0,0.99704,3.27,0.77,10.8,6,35.294117647058826,600.0,18.36734693877551,94.89795918367348
897,red,8.3,0.33,0.42,2.3,0.07,9.0,20.0,0.99426,3.38,0.77,12.7,7,45.0,552.1739130434783,26.651216685979136,96.17612977983778
898,red,8.2,0.64,0.27,2.0,0.095,5.0,77.0,0.99747,3.13,0.62,9.1,6,6.493506493506493,455.0,22.624434389140273,92.7601809954751
899,red,8.9,0.48,0.53,4.0,0.101,3.0,10.0,0.99586,3.21,0.59,12.1,7,30.0,302.5,42.643923240938165,94.88272921108741
900,red,7.6,0.42,0.25,3.9,0.104,28.0,90.0,0.99784,3.15,0.57,9.1,5,31.11111111111111,233.33333333333334,48.6284289276808,94.76309226932669
901,red,9.9,0.53,0.57,2.4,0.093,30.0,52.0,0.9971,3.19,0.76,11.6,7,57.69230769230769,483.33333333333337,23.010546500479386,94.91850431447747
903,red,9.1,0.4,0.5,1.8,0.071,7.0,16.0,0.99462,3.21,0.69,12.5,8,43.75,694.4444444444445,18.94736842105263,95.78947368421052
904,red,8.0,0.38,0.44,1.9,0.098,6.0,15.0,0.9956,3.3,0.64,11.4,6,40.0,600.0,22.673031026252982,95.46539379474939
905,red,10.2,0.29,0.65,2.4,0.075,6.0,17.0,0.99565,3.22,0.63,11.8,6,35.294117647058826,491.6666666666667,22.878932316491902,97.23546234509057
906,red,8.2,0.74,0.09,2.0,0.067,5.0,10.0,0.99418,3.28,0.57,11.8,6,50.0,590.0,22.371364653243848,91.72259507829978
907,red,7.7,0.61,0.18,2.4,0.083,6.0,20.0,0.9963,3.29,0.6,10.2,6,30.0,424.99999999999994,28.880866425992778,92.65944645006016
908,red,6.6,0.52,0.08,2.4,0.07,13.0,26.0,0.99358,3.4,0.72,12.5,7,50.0,520.8333333333334,33.70786516853933,92.69662921348316
909,red,11.1,0.31,0.53,2.2,0.06,3.0,10.0,0.99572,3.02,0.83,10.9,7,30.0,495.45454545454544,19.28133216476775,97.28308501314636
910,red,8.0,0.62,0.35,2.8,0.086,28.0,52.0,0.997,3.31,0.62,10.8,5,53.84615384615385,385.7142857142857,32.48259860788863,92.80742459396753
911,red,9.3,0.33,0.45,1.5,0.057,19.0,37.0,0.99498,3.18,0.89,11.1,7,51.35135135135136,740.0,15.57632398753894,96.57320872274144
912,red,7.5,0.77,0.2,8.1,0.098,30.0,92.0,0.99892,3.2,0.58,9.2,5,32.608695652173914,113.58024691358024,97.94437726723096,90.68923821039904
913,red,7.2,0.35,0.26,1.8,0.083,33.0,75.0,0.9968,3.4,0.58,9.5,6,44.0,527.7777777777777,23.841059602649008,95.36423841059603
914,red,8.0,0.62,0.33,2.7,0.088,16.0,37.0,0.9972,3.31,0.58,10.7,6,43.24324324324324,396.29629629629625,31.32250580046404,92.80742459396753
916,red,9.9,0.32,0.56,2.0,0.073,3.0,8.0,0.99534,3.15,0.73,11.4,6,37.5,570.0,19.569471624266143,96.8688845401174
917,red,8.6,0.37,0.65,6.4,0.08,3.0,8.0,0.99817,3.27,0.58,11.0,5,37.5,171.875,71.34894091415832,95.87513935340023
918,red,7.9,0.3,0.68,8.3,0.05,37.5,278.0,0.99316,3.01,0.51,12.3,7,13.489208633093526,148.19277108433732,101.21951219512195,96.34146341463413
919,red,10.3,0.27,0.56,1.4,0.047,3.0,8.0,0.99471,3.16,0.51,11.8,6,37.5,842.8571428571429,13.245033112582782,97.44560075685904
921,red,7.2,0.38,0.3,1.8,0.073,31.0,70.0,0.99685,3.42,0.59,9.5,6,44.285714285714285,527.7777777777777,23.7467018469657,94.9868073878628
922,red,8.7,0.42,0.45,2.4,0.072,32.0,59.0,0.99617,3.33,0.77,12.0,6,54.23728813559322,500.0,26.315789473684212,95.39473684210526
923,red,6.8,0.48,0.08,1.8,0.074,40.0,64.0,0.99529,3.12,0.49,9.6,5,62.5,533.3333333333334,24.725274725274726,93.40659340659342
